negative,neutral,positive,recipeScore,recipeTitle,url,posNegRatio,totalComments
0.11538461538461539,0.4230769230769231,0.46153846153846156,4.0,1-2-3-4 Cake Recipe,https://cooking.nytimes.com/recipes/1015491-1-2-3-4-cake,4.0,26.0
0.3333333333333333,0.47619047619047616,0.19047619047619047,4.0,1-2-3-4 Cake With Mocha Buttercream Recipe,https://cooking.nytimes.com/recipes/1027370-1-2-3-4-cake-with-mocha-buttercream,0.5714285714285714,21.0
0.22962962962962963,0.31851851851851853,0.45185185185185184,4.0,7Up Cake Recipe,https://cooking.nytimes.com/recipes/1020510-7up-cake,1.967741935483871,135.0
0.1206896551724138,0.25862068965517243,0.6206896551724138,5.0,Aglio e Olio Baked Potatoes Recipe,https://cooking.nytimes.com/recipes/1026385-aglio-e-olio-baked-potatoes,5.142857142857142,58.0
0.09333333333333334,0.3333333333333333,0.5733333333333334,4.0,Air-Fryer Cheesecake Recipe,https://cooking.nytimes.com/recipes/1022925-air-fryer-cheesecake,6.142857142857143,75.0
0.23809523809523808,0.2857142857142857,0.47619047619047616,4.0,Air-Fryer Chicken Parmesan Recipe,https://cooking.nytimes.com/recipes/1022924-air-fryer-chicken-parmesan,2.0,42.0
0.08571428571428572,0.1,0.8142857142857143,4.0,Alice Waters’s Seasonal Minestrone Recipe,https://cooking.nytimes.com/recipes/1018898-alice-waterss-seasonal-minestrone,9.5,70.0
0.17391304347826086,0.41304347826086957,0.41304347826086957,4.0,All-Purpose Enriched Bread Recipe,https://cooking.nytimes.com/recipes/1022248-all-purpose-enriched-bread,2.375,138.0
,1.0,,4.0,Alligator Chili Recipe,https://cooking.nytimes.com/recipes/1022783-alligator-chili,,2.0
0.05555555555555555,0.3333333333333333,0.6111111111111112,4.0,Almond Croissants Recipe,https://cooking.nytimes.com/recipes/1022062-almond-croissants,11.000000000000002,18.0
0.06666666666666667,0.2,0.7333333333333333,4.0,Almond and Dried Fruit Pilaf With Rotisserie Chicken Recipe,https://cooking.nytimes.com/recipes/1019998-almond-and-dried-fruit-pilaf-with-rotisserie-chicken,11.0,15.0
0.14285714285714285,0.2222222222222222,0.6349206349206349,4.0,Amu’s Chicken Korma Recipe,https://cooking.nytimes.com/recipes/1021424-amus-chicken-korma,4.444444444444445,63.0
0.23076923076923078,0.38461538461538464,0.38461538461538464,4.0,Apple and Plum Croustade (Croustade aux Pommes et Prunes) Recipe,https://cooking.nytimes.com/recipes/1027089-apple-and-plum-croustade-croustade-aux-pommes-et-prunes,1.6666666666666667,13.0
0.34782608695652173,0.30434782608695654,0.34782608695652173,4.0,Applejack Butter Pecan Bundt Cake Recipe,https://cooking.nytimes.com/recipes/1021802-applejack-butter-pecan-bundt-cake,1.0,23.0
0.2894736842105263,0.02631578947368421,0.6842105263157895,5.0,Arrabbiata Sauce Recipe,https://cooking.nytimes.com/recipes/1025368-arrabbiata-sauce,2.3636363636363638,38.0
0.07547169811320754,0.1509433962264151,0.7735849056603774,4.0,Arroz con Maiz y Crema (Cheesy Rice Casserole With Corn) Recipe,https://cooking.nytimes.com/recipes/1024693-arroz-con-maiz-y-crema-cheesy-rice-casserole-with-corn,10.250000000000002,53.0
0.125,0.375,0.5,4.0,Asado Recipe,https://cooking.nytimes.com/recipes/1019757-asado,4.0,16.0
0.14814814814814814,0.1728395061728395,0.6790123456790124,5.0,Asparagus and Sausage Pasta Recipe,https://cooking.nytimes.com/recipes/777913309-asparagus-and-sausage-pasta,4.583333333333334,81.0
0.34782608695652173,0.30434782608695654,0.34782608695652173,4.0,"Avocado, Edamame and Yuzu Dip With Furikake Recipe",https://cooking.nytimes.com/recipes/1026538-avocado-edamame-and-yuzu-dip-with-furikake,1.0,23.0
,0.09523809523809523,0.9047619047619048,5.0,Avocado-Black Bean Tostadas Recipe,https://cooking.nytimes.com/recipes/1027324-avocado-black-bean-tostadas,,21.0
0.32,0.24,0.44,4.0,Award-Winning Maple Blueberry Pie Recipe,https://cooking.nytimes.com/recipes/1018834-award-winning-maple-blueberry-pie,1.375,25.0
0.15789473684210525,0.5263157894736842,0.3157894736842105,4.0,Ayote en Miel (Squash With Spiced Syrup) Recipe,https://cooking.nytimes.com/recipes/1024710-ayote-en-miel-squash-with-spiced-syrup,2.0,19.0
