recipeTitle,maybe_not_about_the_recipe,positive_user_describing_changes,positive_user_made_as_written,question,thinks_ingredients_hard_to_find,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_inauthentic,user_responding_to_other_user,url,totalComments,negative,neutral,positive,posNegRatio
1-2-3-4 Cake Recipe,0.11538461538461539,0.46153846153846156,0.0,0.3076923076923077,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,https://cooking.nytimes.com/recipes/1015491-1-2-3-4-cake,26.0,0.11538461538461539,0.4230769230769231,0.46153846153846156,4.0
1-2-3-4 Cake With Mocha Buttercream Recipe,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.0,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,https://cooking.nytimes.com/recipes/1027370-1-2-3-4-cake-with-mocha-buttercream,21.0,0.3333333333333333,0.47619047619047616,0.19047619047619047,0.5714285714285714
7Up Cake Recipe,0.08888888888888889,0.43703703703703706,0.014814814814814815,0.14814814814814814,0.0,0.02962962962962963,0.13333333333333333,0.06666666666666667,0.0,0.08148148148148149,https://cooking.nytimes.com/recipes/1020510-7up-cake,135.0,0.22962962962962963,0.31851851851851853,0.45185185185185184,1.967741935483871
Aglio e Olio Baked Potatoes Recipe,0.06896551724137931,0.39655172413793105,0.22413793103448276,0.1896551724137931,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.0,https://cooking.nytimes.com/recipes/1026385-aglio-e-olio-baked-potatoes,58.0,0.1206896551724138,0.25862068965517243,0.6206896551724138,5.142857142857142
Air-Fryer Cheesecake Recipe,0.05333333333333334,0.4533333333333333,0.12,0.24,0.0,0.013333333333333334,0.02666666666666667,0.05333333333333334,0.0,0.04,https://cooking.nytimes.com/recipes/1022925-air-fryer-cheesecake,75.0,0.09333333333333334,0.3333333333333333,0.5733333333333334,6.142857142857143
Air-Fryer Chicken Parmesan Recipe,0.07142857142857142,0.42857142857142855,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.07142857142857142,0.0,0.023809523809523808,https://cooking.nytimes.com/recipes/1022924-air-fryer-chicken-parmesan,42.0,0.23809523809523808,0.2857142857142857,0.47619047619047616,2.0
Alice Waters’s Seasonal Minestrone Recipe,0.04285714285714286,0.7857142857142857,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.0,0.07142857142857142,0.0,0.0,0.014285714285714285,https://cooking.nytimes.com/recipes/1018898-alice-waterss-seasonal-minestrone,70.0,0.08571428571428572,0.1,0.8142857142857143,9.5
All-Purpose Enriched Bread Recipe,0.007246376811594203,0.3333333333333333,0.07971014492753623,0.3115942028985507,0.0,0.021739130434782608,0.007246376811594203,0.14492753623188406,0.0,0.09420289855072464,https://cooking.nytimes.com/recipes/1022248-all-purpose-enriched-bread,138.0,0.17391304347826086,0.41304347826086957,0.41304347826086957,2.375
Alligator Chili Recipe,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1022783-alligator-chili,2.0,,1.0,,
Almond Croissants Recipe,0.05555555555555555,0.4444444444444444,0.16666666666666666,0.2777777777777778,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1022062-almond-croissants,18.0,0.05555555555555555,0.3333333333333333,0.6111111111111112,11.000000000000002
Almond and Dried Fruit Pilaf With Rotisserie Chicken Recipe,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,https://cooking.nytimes.com/recipes/1019998-almond-and-dried-fruit-pilaf-with-rotisserie-chicken,15.0,0.06666666666666667,0.2,0.7333333333333333,11.0
Amu’s Chicken Korma Recipe,0.07936507936507936,0.5396825396825397,0.09523809523809523,0.12698412698412698,0.0,0.0,0.09523809523809523,0.031746031746031744,0.015873015873015872,0.015873015873015872,https://cooking.nytimes.com/recipes/1021424-amus-chicken-korma,63.0,0.14285714285714285,0.2222222222222222,0.6349206349206349,4.444444444444445
Apple and Plum Croustade (Croustade aux Pommes et Prunes) Recipe,0.0,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,https://cooking.nytimes.com/recipes/1027089-apple-and-plum-croustade-croustade-aux-pommes-et-prunes,13.0,0.23076923076923078,0.38461538461538464,0.38461538461538464,1.6666666666666667
